                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                23 May 2023 02:22:43
Civil Air Patrol Use Only
AreaTarget-Russia-To-Satellite-KinoSat_110601, Satellite-KinoSat_110602, Satellite-KinoSat_110603, Satellite-KinoSat_110604, Satellite-KinoSat_110605, Satellite-KinoSat_110606, Satellite-KinoSat_110607, Satellite-KinoSat_110608, Satellite-KinoSat_110609, Satellite-KinoSat_110610, Satellite-KinoSat_110701, Satellite-KinoSat_110702, Satellite-KinoSat_110703, Satellite-KinoSat_110704, Satellite-KinoSat_110705, Satellite-KinoSat_110706, Satellite-KinoSat_110707, Satellite-KinoSat_110708, Satellite-KinoSat_110709, Satellite-KinoSat_110710, Satellite-KinoSat_110801, Satellite-KinoSat_110802, Satellite-KinoSat_110803, Satellite-KinoSat_110804, Satellite-KinoSat_110805, Satellite-KinoSat_110806, Satellite-KinoSat_110807, Satellite-KinoSat_110808, Satellite-KinoSat_110809, Satellite-KinoSat_110810, Satellite-KinoSat_110901, Satellite-KinoSat_110902, Satellite-KinoSat_110903, Satellite-KinoSat_110904, Satellite-KinoSat_110905, Satellite-KinoSat_110906, Satellite-KinoSat_110907, Satellite-KinoSat_110908, Satellite-KinoSat_110909, Satellite-KinoSat_110910, Satellite-KinoSat_111001, Satellite-KinoSat_111002, Satellite-KinoSat_111003, Satellite-KinoSat_111004, Satellite-KinoSat_111005, Satellite-KinoSat_111006, Satellite-KinoSat_111007, Satellite-KinoSat_111008, Satellite-KinoSat_111009, Satellite-KinoSat_111010, Satellite-KinoSat_111101, Satellite-KinoSat_111102, Satellite-KinoSat_111103, Satellite-KinoSat_111104, Satellite-KinoSat_111105, Satellite-KinoSat_111106, Satellite-KinoSat_111107, Satellite-KinoSat_111108, Satellite-KinoSat_111109, Satellite-KinoSat_111110, Satellite-KinoSat_111201, Satellite-KinoSat_111202, Satellite-KinoSat_111203, Satellite-KinoSat_111204, Satellite-KinoSat_111205, Satellite-KinoSat_111206, Satellite-KinoSat_111207, Satellite-KinoSat_111208, Satellite-KinoSat_111209, Satellite-KinoSat_111210, Satellite-KinoSat_111301, Satellite-KinoSat_111302, Satellite-KinoSat_111303, Satellite-KinoSat_111304, Satellite-KinoSat_111305, Satellite-KinoSat_111306, Satellite-KinoSat_111307, Satellite-KinoSat_111308, Satellite-KinoSat_111309, Satellite-KinoSat_111310, Satellite-KinoSat_111401, Satellite-KinoSat_111402, Satellite-KinoSat_111403, Satellite-KinoSat_111404, Satellite-KinoSat_111405, Satellite-KinoSat_111406, Satellite-KinoSat_111407, Satellite-KinoSat_111408, Satellite-KinoSat_111409, Satellite-KinoSat_111410, Satellite-KinoSat_111501, Satellite-KinoSat_111502, Satellite-KinoSat_111503, Satellite-KinoSat_111504, Satellite-KinoSat_111505, Satellite-KinoSat_111506, Satellite-KinoSat_111507, Satellite-KinoSat_111508, Satellite-KinoSat_111509, Satellite-KinoSat_111510, Satellite-KinoSat_111601, Satellite-KinoSat_111602, Satellite-KinoSat_111603, Satellite-KinoSat_111604, Satellite-KinoSat_111605, Satellite-KinoSat_111606, Satellite-KinoSat_111607, Satellite-KinoSat_111608, Satellite-KinoSat_111609, Satellite-KinoSat_111610, Satellite-KinoSat_111701, Satellite-KinoSat_111702, Satellite-KinoSat_111703, Satellite-KinoSat_111704, Satellite-KinoSat_111705, Satellite-KinoSat_111706, Satellite-KinoSat_11170
7, Satellite-KinoSat_111708, Satellite-KinoSat_111709, Satellite-KinoSat_111710, Satellite-KinoSat_111801, Satellite-KinoSat_111802, Satellite-KinoSat_111803, Satellite-KinoSat_111804, Satellite-KinoSat_111805, Satellite-KinoSat_111806, Satellite-KinoSat_111807, Satellite-KinoSat_111808, Satellite-KinoSat_111809, Satellite-KinoSat_111810, Satellite-KinoSat_111901, Satellite-KinoSat_111902, Satellite-KinoSat_111903, Satellite-KinoSat_111904, Satellite-KinoSat_111905, Satellite-KinoSat_111906, Satellite-KinoSat_111907, Satellite-KinoSat_111908, Satellite-KinoSat_111909, Satellite-KinoSat_111910, Satellite-KinoSat_112001, Satellite-KinoSat_112002, Satellite-KinoSat_112003, Satellite-KinoSat_112004, Satellite-KinoSat_112005, Satellite-KinoSat_112006, Satellite-KinoSat_112007, Satellite-KinoSat_112008, Satellite-KinoSat_112009, Satellite-KinoSat_112010:  Access Summary Report


Russia-To-KinoSat_110601
------------------------
                  Access        Start Time (UTCG)           Stop Time (UTCG)        Duration (sec)
                  ------    ------------------------    ------------------------    --------------
                       1     1 Jun 2027 04:19:46.789     1 Jun 2027 04:21:39.745           112.955
                       2     1 Jun 2027 04:21:50.308     1 Jun 2027 04:27:04.884           314.576
                       3     1 Jun 2027 04:27:43.114     1 Jun 2027 04:28:06.330            23.216
                       4     1 Jun 2027 05:57:12.496     1 Jun 2027 06:04:31.462           438.966
                       5     1 Jun 2027 07:33:59.559     1 Jun 2027 07:40:29.910           390.351
                       6     1 Jun 2027 09:11:57.449     1 Jun 2027 09:16:07.361           249.912
                       7     1 Jun 2027 10:45:34.728     1 Jun 2027 10:52:58.571           443.843
                       8     2 Jun 2027 03:00:00.000     2 Jun 2027 03:02:11.333           131.333
                       9     2 Jun 2027 04:31:15.545     2 Jun 2027 04:39:15.478           479.933
                      10     2 Jun 2027 04:39:36.242     2 Jun 2027 04:40:34.224            57.982
                      11     2 Jun 2027 06:09:06.448     2 Jun 2027 06:16:31.290           444.842
                      12     2 Jun 2027 07:45:51.093     2 Jun 2027 07:51:42.939           351.846
                      13     2 Jun 2027 07:51:50.165     2 Jun 2027 07:52:34.820            44.655
                      14     2 Jun 2027 09:23:59.979     2 Jun 2027 09:28:05.389           245.409
                      15     2 Jun 2027 10:57:51.470     2 Jun 2027 11:04:06.645           375.175
                      16     3 Jun 2027 03:10:15.764     3 Jun 2027 03:14:10.886           235.122
                      17     3 Jun 2027 04:44:03.953     3 Jun 2027 04:51:23.546           439.593
                      18     3 Jun 2027 04:51:35.789     3 Jun 2027 04:52:35.811            60.022
                      19     3 Jun 2027 06:21:13.502     3 Jun 2027 06:28:32.380           438.877
                      20     3 Jun 2027 07:58:16.875     3 Jun 2027 08:03:01.167           284.292
                      21     3 Jun 2027 08:03:10.783     3 Jun 2027 08:04:21.662            70.879
                      22     3 Jun 2027 09:35:11.000     3 Jun 2027 09:40:05.819           294.819
                      23     3 Jun 2027 11:10:20.472     3 Jun 2027 11:10:40.818            20.347
                      24     3 Jun 2027 11:11:56.241     3 Jun 2027 11:15:07.101           190.860
                      25     4 Jun 2027 03:22:32.834     4 Jun 2027 03:26:00.925           208.091
                      26     4 Jun 2027 04:56:24.998     4 Jun 2027 05:03:32.742           427.744
                      27     4 Jun 2027 05:03:33.781     4 Jun 2027 05:04:34.369            60.588
                      28     4 Jun 2027 06:33:40.097     4 Jun 2027 06:40:19.991           399.894
                      29     4 Jun 2027 08:10:41.541     4 Jun 2027 08:14:58.202           256.661
                      30     4 Jun 2027 08:14:59.295     4 Jun 2027 08:16:05.226            65.931
                      31     4 Jun 2027 09:47:25.530     4 Jun 2027 09:51:55.530           270.000
                      32     4 Jun 2027 11:25:34.546     4 Jun 2027 11:26:43.509            68.963
                      33     5 Jun 2027 03:34:36.124     5 Jun 2027 03:38:09.754           213.630
                      34     5 Jun 2027 05:09:42.673     5 Jun 2027 05:15:29.305           346.632
                      35     5 Jun 2027 05:15:31.966     5 Jun 2027 05:16:32.378            60.412
                      36     5 Jun 2027 06:46:03.328     5 Jun 2027 06:52:26.942           383.614
                      37     5 Jun 2027 08:23:33.366     5 Jun 2027 08:27:57.785           264.419
                      38     5 Jun 2027 09:59:37.779     5 Jun 2027 10:03:55.069           257.290
                      39     6 Jun 2027 03:46:46.736     6 Jun 2027 03:50:15.696           208.960
                      40     6 Jun 2027 05:21:56.463     6 Jun 2027 05:28:32.387           395.925
                      41     6 Jun 2027 06:58:17.894     6 Jun 2027 07:04:27.946           370.052
                      42     6 Jun 2027 08:35:36.151     6 Jun 2027 08:40:14.303           278.152
                      43     6 Jun 2027 10:11:48.043     6 Jun 2027 10:16:36.311           288.268
                      44     7 Jun 2027 03:58:37.073     7 Jun 2027 04:02:42.668           245.596
                      45     7 Jun 2027 05:33:30.901     7 Jun 2027 05:40:41.360           430.459
                      46     7 Jun 2027 07:09:54.211     7 Jun 2027 07:16:19.715           385.504
                      47     7 Jun 2027 08:48:10.732     7 Jun 2027 08:52:02.184           231.452
                      48     7 Jun 2027 10:23:33.653     7 Jun 2027 10:27:39.952           246.299
                      49     7 Jun 2027 10:28:02.129     7 Jun 2027 10:29:00.314            58.185
                      50     8 Jun 2027 04:08:54.609     8 Jun 2027 04:09:40.633            46.024
                      51     8 Jun 2027 04:10:21.004     8 Jun 2027 04:14:56.535           275.532
                      52     8 Jun 2027 05:45:07.369     8 Jun 2027 05:52:42.074           454.705
                      53     8 Jun 2027 07:22:13.744     8 Jun 2027 07:28:35.772           382.028
                      54     8 Jun 2027 09:00:11.658     8 Jun 2027 09:04:09.082           237.424
                      55     8 Jun 2027 10:33:19.071     8 Jun 2027 10:39:36.149           377.078
                      56     8 Jun 2027 10:40:18.035     8 Jun 2027 10:41:17.696            59.661
